S_No,Year,Month,Product_ID,Country,Sales
79073,2016,4,1,Argentina,13010488.0
79074,2016,5,1,Argentina,17589294.0
79075,2016,6,1,Argentina,17680331.0
79076,2016,7,1,Argentina,12677963.0
79077,2016,8,1,Argentina,17637231.0
79078,2016,9,1,Argentina,13059227.0
79079,2016,10,1,Argentina,13663324.0
79080,2016,11,1,Argentina,17600640.0
79081,2016,12,1,Argentina,13331652.0
79082,2017,1,1,Argentina,17408447.0
79083,2017,2,1,Argentina,12031689.0
79084,2017,3,1,Argentina,11558976.0
79085,2016,4,2,Argentina,6889690.0
79086,2016,5,2,Argentina,8735159.0
79087,2016,6,2,Argentina,10332751.0
79088,2016,7,2,Argentina,8611279.0
79089,2016,8,2,Argentina,10315698.0
79090,2016,9,2,Argentina,8697362.0
79091,2016,10,2,Argentina,8849234.0
79092,2016,11,2,Argentina,10267884.0
79093,2016,12,2,Argentina,10234682.0
79094,2017,1,2,Argentina,9349001.0
79095,2017,2,2,Argentina,7380816.0
79096,2017,3,2,Argentina,6133957.0
79097,2017,1,3,Argentina,8821281.0
79098,2017,2,3,Argentina,9293339.0
79099,2017,3,3,Argentina,8999919.0
79100,2016,4,2,Belgium,1618789.0
79101,2016,5,2,Belgium,1069484.0
79102,2016,6,2,Belgium,1624532.0
79103,2016,7,2,Belgium,1059484.0
79104,2016,8,2,Belgium,1087524.0
79105,2016,9,2,Belgium,1620102.0
79106,2016,10,2,Belgium,2497955.0
79107,2016,11,2,Belgium,1615292.0
79108,2016,12,2,Belgium,1621333.0
79109,2017,1,2,Belgium,1557068.0
79110,2017,2,2,Belgium,1038742.0
79111,2017,3,2,Belgium,866434.0
79112,2016,4,1,Columbia,3960302.0
79113,2016,5,1,Columbia,3270645.0
79114,2016,6,1,Columbia,4212666.0
79115,2016,7,1,Columbia,3236782.0
79116,2016,8,1,Columbia,2848640.0
79117,2016,9,1,Columbia,3591035.0
79118,2016,10,1,Columbia,3256944.0
79119,2016,11,1,Columbia,3686907.0
79120,2016,12,1,Columbia,3604215.0
79121,2017,1,1,Columbia,2907589.0
79122,2017,2,1,Columbia,3166213.0
79123,2017,3,1,Columbia,3654039.0
79124,2016,4,2,Columbia,7523076.0
79125,2016,5,2,Columbia,8805084.0
79126,2016,6,2,Columbia,8821702.0
79127,2016,7,2,Columbia,8679464.0
79128,2016,8,2,Columbia,7108400.0
79129,2016,9,2,Columbia,8738305.0
79130,2016,10,2,Columbia,8893641.0
79131,2016,11,2,Columbia,8766322.0
79132,2016,12,2,Columbia,7531375.0
79133,2017,1,2,Columbia,7981815.0
79134,2017,2,2,Columbia,6841279.0
79135,2017,3,2,Columbia,7777661.0
79136,2017,1,3,Columbia,2285019.0
79137,2017,2,3,Columbia,2421343.0
79138,2017,3,3,Columbia,2345737.0
79139,2016,4,2,Denmark,134677409.0
79140,2016,5,2,Denmark,135692401.0
79141,2016,6,2,Denmark,135162737.0
79142,2016,7,2,Denmark,134458713.0
79143,2016,8,2,Denmark,135115349.0
79144,2016,9,2,Denmark,133797468.0
79145,2016,10,2,Denmark,136578341.0
79146,2016,11,2,Denmark,135555177.0
79147,2016,12,2,Denmark,134827786.0
79148,2017,1,2,Denmark,135834434.0
79149,2017,2,2,Denmark,135733619.0
79150,2017,3,2,Denmark,136049153.0
79151,2015,11,5,England,668856.0
79152,2015,12,5,England,930871.0
79153,2016,1,5,England,516746.0
79154,2016,2,5,England,464307.0
79155,2016,3,5,England,677530.0
79156,2016,4,5,England,635739.0
79157,2016,5,5,England,634147.0
79158,2016,6,5,England,713971.0
79159,2016,7,5,England,601434.0
79160,2015,11,4,England,157599.0
79161,2015,12,4,England,202700.0
79162,2016,1,4,England,154130.0
79163,2016,2,4,England,152921.0
79164,2016,3,4,England,149221.0
79165,2016,4,4,England,156518.0
79166,2016,5,4,England,153341.0
79167,2016,6,4,England,156059.0
79168,2016,7,4,England,153400.0
79169,2015,11,4,Finland,27952880.0
79170,2015,12,4,Finland,31189802.0
79171,2016,1,4,Finland,25114818.0
79172,2016,2,4,Finland,24399629.0
79173,2016,3,4,Finland,30446348.0
79174,2016,4,4,Finland,30523673.0
79175,2016,5,4,Finland,24334240.0
79176,2016,6,4,Finland,25932541.0
79177,2016,7,4,Finland,24474597.0
