id_accs,id_prop
0012A00002AXHJUQA5,a0I2A00000XQLncUAH
0012A000023XlbuQAC,a0I2A00000XQKxFUAX
0012A000023XlbuQAC,a0I2A00000XQKq8UAH
0012A000023XlbuQAC,a0I2A00000XQLqOUAX
0012A000023XlbuQAC,a0I2A00000XQI1LUAX
0012A000023XlbuQAC,a0I2A00000XQGw1UAH
0012A000023XlbuQAC,a0I2A00000XQJTYUA5
0012A000023XlbuQAC,a0I2A00000XQJ89UAH
0012A000023XlbuQAC,a0I2A00000XQHvdUAH
0012A000023XlbuQAC,a0I2A00000XQGkWUAX
0012A000023XlbuQAC,a0I2A00000XQLncUAH
0012A000023Xlh9QAC,a0I2A00000XQKp4UAH
0012A000023XlkNQAS,a0I2A00000XQGbJUAX
0012A000023XlkNQAS,a0I2A00000XQKxFUAX
0012A000023XlkNQAS,a0I2A00000XQKq8UAH
0012A000023XlkNQAS,a0I2A00000XQIypUAH
0012A000023XlkNQAS,a0I2A00000XQLqOUAX
0012A000023XlkNQAS,a0I2A00000XQI1LUAX
0012A000023XlkNQAS,a0I2A00000XQGw1UAH
0012A000023XlkNQAS,a0I2A00000XQJTYUA5
0012A000023XlkNQAS,a0I2A00000XQJ89UAH
0012A000023XlkNQAS,a0I2A00000XQHZlUAP
0012A000023XlkNQAS,a0I2A00000XQHvdUAH
0012A000023XlkNQAS,a0I2A00000XQGkWUAX
0012A000023XlkNQAS,a0I2A00000XQLYbUAP
0012A000023XlkNQAS,a0I2A00000XQLncUAH
0012A000023XlnWQAS,a0I2A00000XQLncUAH
0012A000023XlnqQAC,a0I2A00000XQIOLUA5
0012A000023XlnqQAC,a0I2A00000XQHZlUAP
0012A000023XlnqQAC,a0I2A00000XQLVMUA5
0012A000023XlnqQAC,a0I2A00000XQLncUAH
0012A000023Xm35QAC,a0I2A00000XQKp4UAH
0012A000023YB67QAG,a0I2A00000XQHhQUAX
0012A000023YB67QAG,a0I2A00000XQKrZUAX
0012A000023XmRwQAK,a0I2A00000XQIOLUA5
0012A000023XmRwQAK,a0I2A00000XQLVMUA5
0012A000023XmmFQAS,a0I2A00000XQKp4UAH
0012A000023XoRjQAK,a0I2A00000XQKp4UAH
0012A000023XwMRQA0,a0I2A00000XQKxFUAX
0012A000023XwMRQA0,a0I2A00000XQJ89UAH
0012A000029ZzX1QAK,a0I2A00000XQGbJUAX
0012A000029ZzX1QAK,a0I2A00000XQKxFUAX
0012A000029ZzX1QAK,a0I2A00000XQKq8UAH
0012A000029ZzX1QAK,a0I2A00000XQIypUAH
0012A000029ZzX1QAK,a0I2A00000XQLqOUAX
0012A000029ZzX1QAK,a0I2A00000XQI1LUAX
0012A000029ZzX1QAK,a0I2A00000XQGw1UAH
0012A000029ZzX1QAK,a0I2A00000XQJTYUA5
0012A000029ZzX1QAK,a0I2A00000XQJ89UAH
0012A000029ZzX1QAK,a0I2A00000XQHZlUAP
0012A000029ZzX1QAK,a0I2A00000XQHvdUAH
0012A000029ZzX1QAK,a0I2A00000XQGkWUAX
0012A000029ZzX1QAK,a0I2A00000XQLYbUAP
0012A000029ZzX1QAK,a0I2A00000XQLncUAH
0012A000023YLFWQA4,a0I2A00000XQKxFUAX
0012A000023YLFWQA4,a0I2A00000XQLfzUAH
0012A000023YLFWQA4,a0I2A00000XQJ89UAH
0012A000023YLFWQA4,a0I2A00000XQGrPUAX
0012A000023YLFWQA4,a0I2A00000XQKYRUA5
0012A000023YLFWQA4,a0I2A00000XQLncUAH
0012A000023XrTNQA0,a0I2A00000XQIOLUA5
0012A000023XrTNQA0,a0I2A00000XQHZlUAP
0012A000023XrTNQA0,a0I2A00000XQLVMUA5
0012A000023XrTNQA0,a0I2A00000XQLYbUAP
0012A000023XrTNQA0,a0I2A00000XQLncUAH
0012A00002JF3YmQAL,a0I2A00000XQLncUAH
0012A000023YKsuQAG,a0I2A00000XQIOLUA5
0012A000023YKsuQAG,a0I2A00000XQLVMUA5
0012A000023YKsuQAG,a0I2A00000XQLYbUAP
0012A000023Y9gNQAS,a0I2A00000XQGbJUAX
0012A000023Y9gNQAS,a0I2A00000XQKxFUAX
0012A000023Y9gNQAS,a0I2A00000XQKq8UAH
0012A000023Y9gNQAS,a0I2A00000XQIypUAH
0012A000023Y9gNQAS,a0I2A00000XQLqOUAX
0012A000023Y9gNQAS,a0I2A00000XQI1LUAX
0012A000023Y9gNQAS,a0I2A00000XQGw1UAH
0012A000023Y9gNQAS,a0I2A00000XQJTYUA5
0012A000023Y9gNQAS,a0I2A00000XQJ89UAH
0012A000023Y9gNQAS,a0I2A00000XQHZlUAP
0012A000023Y9gNQAS,a0I2A00000XQHvdUAH
0012A000023Y9gNQAS,a0I2A00000XQGkWUAX
0012A000023Y9gNQAS,a0I2A00000XQLYbUAP
0012A000023Y9gNQAS,a0I2A00000XQLncUAH
0012A000026WwqxQAC,a0I2A00000XQLOuUAP
0012A000023YAupQAG,a0I2A00000XQLncUAH
0012A000023YDnWQAW,a0I2A00000XQKp4UAH
0012A000023YDnWQAW,a0I2A00000XQHFtUAP
0012A000023YDnWQAW,a0I2A00000XQIoPUAX
0012A000023XlWaQAK,a0I2A00000XQKiJUAX
0012A000023XlWaQAK,a0I2A00000XQJcCUAX
0012A000023XlWaQAK,a0I2A00000XQKzEUAX
0012A000023XlWaQAK,a0I2A00000XQK5VUAX
0012A000023Y4bYQAS,a0I2A00000XQKiJUAX
0012A000023Y4bYQAS,a0I2A00000XQJcCUAX
0012A000023Y4bYQAS,a0I2A00000Y68eLUAR
0012A000023Y4bYQAS,a0I2A00000XQKzEUAX
0012A000023Y4bYQAS,a0I2A00000XQK5VUAX
0012A000023Y4bYQAS,a0I2A00000XQLQlUAP
0012A000023Y4bYQAS,a0I2A00000XQK1wUAH
0012A000023Y4bYQAS,a0I2A00000XQIqlUAH
0012A000023XlhdQAC,a0I2A00000XQKiJUAX
0012A000023XlhdQAC,a0I2A00000XQJcCUAX
0012A000023XlhdQAC,a0I2A00000XQKzEUAX
0012A000023XlhdQAC,a0I2A00000XQK5VUAX
0012A000023Xp5LQAS,a0I2A00000XQLNbUAP
0012A000023Xp5LQAS,a0I2A00000XQGMiUAP
0012A000023Xp5LQAS,a0I2A00000XQIhmUAH
0012A000023Xp5LQAS,a0I2A00000XQKEmUAP
0012A000023Xp5LQAS,a0I2A00000XQIArUAP
0012A000023Xp5LQAS,a0I2A00000XQJPoUAP
0012A000023Xp5LQAS,a0I2A00000XQJcdUAH
0012A000023Xp5LQAS,a0I2A00000XQGsiUAH
